"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","Count","id","Point"
" Temple Drive and 43 Avenue NE ","There is an incident involving a pedestrian- EMS on site.","2025/09/05 05:51:45 PM","2025/09/05 06:51:36 PM","NE","-113.939394643","51.0915596093","1","2025-09-05T17:51:4551.09155960930114-113.93939464300408","POINT (-113.93939464300408 51.09155960930114)"
" 26 Street and 37 Avenue NE ","There is an incident involving a pedestrian- EMS on site.","2025/09/05 01:33:40 PM","2025/09/05 02:33:10 PM","NE","-113.99776802686","51.08665929745","1","2025-09-05T13:33:4051.08665929744907-113.99776802686375","POINT (-113.99776802686375 51.08665929744907)"
" Bridlewood Avenue and 24 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/09/04 09:20:42 PM","2025/09/04 10:10:06 PM","SW","-114.11711571647","50.89737305982","1","2025-09-04T21:20:4250.89737305982402-114.11711571647051","POINT (-114.11711571647051 50.89737305982402)"
" Spiller Road and 22 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2025/09/04 09:07:50 PM","2025/09/04 10:10:06 PM","SE","-114.04410769531","51.03379276147","1","2025-09-04T21:07:5051.03379276146863-114.04410769531266","POINT (-114.04410769531266 51.03379276146863)"
" Falconridge Drive and Castleridge Boulevard NE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/09/03 07:22:19 PM","2025/09/03 07:23:45 PM","NE","-113.95825706564","51.09983295432","1","2025-09-03T19:22:1951.09983295431683-113.95825706563967","POINT (-113.95825706563967 51.09983295431683)"
" 68 Street and Falconridge Drive NE ","There is an incident involving a pedestrian- EMS on site.","2025/09/01 10:05:43 PM","2025/09/01 10:06:59 PM","NE","-113.93512556997","51.10144396103","1","2025-09-01T22:05:4351.10144396103249-113.93512556997193","POINT (-113.93512556997193 51.10144396103249)"
" Westbound 16 Avenue and 10 Street NW ","There is an incident involving a pedestrian- EMS on site.","2025/09/01 03:15:50 PM","2025/09/01 03:16:43 PM","NW","-114.0831172301","51.06698065874","1","2025-09-01T15:15:5051.06698065873904-114.08311723010245","POINT (-114.08311723010245 51.06698065873904)"
" 41 Street and 17 Avenue SE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/31 10:07:42 PM","2025/08/31 10:11:05 PM","SE","-113.97432931821","51.03795206759","1","2025-08-31T22:07:4251.03795206759265-113.97432931820853","POINT (-113.97432931820853 51.03795206759265)"
" Westbound Glenmore Trail after Blackfoot Trail SE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lanes","2025/08/31 12:37:53 PM","2025/08/31 12:51:04 PM","SE","-114.05691173484","50.99398110109","1","2025-08-31T12:37:5350.99398110109441-114.0569117348438","POINT (-114.0569117348438 50.99398110109441)"
" 83 Street and Bowness Road NW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/31 08:34:12 AM","2025/08/31 09:47:43 AM","NW","-114.20802625169","51.09040427046","1","2025-08-31T08:34:1251.09040427045962-114.20802625169321","POINT (-114.20802625169321 51.09040427045962)"
" 2727 Centre Avenue SE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/30 07:03:10 AM","2025/08/30 07:04:23 AM","SE","-113.99498764009","51.05144926879","1","2025-08-30T07:03:1051.05144926879473-113.99498764008969","POINT (-113.99498764008969 51.05144926879473)"
" Mcknight Boulevard and Falconridge Boulevard NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/29 11:00:27 PM","2025/08/29 11:02:09 PM","NE","-113.96091422895","51.09615018316","1","2025-08-29T23:00:2751.096150183158066-113.96091422895292","POINT (-113.96091422895292 51.096150183158066)"
" 17 Avenue east of 33 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/27 07:44:27 PM","2025/08/27 07:48:18 PM","SW","-114.1348875151","51.03783677495","1","2025-08-27T19:44:2751.03783677494652-114.1348875150961","POINT (-114.1348875150961 51.03783677494652)"
" Panatella Boulevard and Panamount Street NW ","There is an incident involving a pedestrian- EMS on site.","2025/08/26 08:07:45 PM","2025/08/26 08:20:51 PM","NW","-114.0880407987","51.16333821444","1","2025-08-26T20:07:4551.16333821444446-114.08804079870075","POINT (-114.08804079870075 51.16333821444446)"
" 15 Avenue and 2 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/26 04:06:00 AM","2025/08/26 04:06:32 AM","SW","-114.06844400193","51.03872855097","1","2025-08-26T04:06:0051.03872855097257-114.06844400193378","POINT (-114.06844400193378 51.03872855097257)"
" Northbound 52 Street and 32 Avenue NE ","There is an incident involving a pedestrian- EMS on site. Blocking the right lane","2025/08/25 09:39:20 PM","2025/08/25 09:40:06 PM","NE","-113.95892972241","51.08157590606","1","2025-08-25T21:39:2051.08157590606487-113.95892972240982","POINT (-113.95892972240982 51.08157590606487)"
" 88 Avenue and Savanna Cr NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/25 08:08:31 PM","2025/08/25 08:09:33 PM","NE","-113.94942162446","51.1325843294","1","2025-08-25T20:08:3151.13258432939578-113.94942162446357","POINT (-113.94942162446357 51.13258432939578)"
" 56 Street and 28 Avenue NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/24 07:22:08 PM","2025/08/24 07:34:16 PM","NE","-113.95214095883","51.07689581327","1","2025-08-24T19:22:0851.07689581327044-113.95214095883391","POINT (-113.95214095883391 51.07689581327044)"
" Marlborough Wy and 39 Street SE ","There is an incident involving a pedestrian- EMS on site. Blocking the left lane","2025/08/23 10:48:49 PM","2025/08/23 10:50:42 PM","NW","-113.97811471744","51.05239304607","1","2025-08-23T22:48:4951.0523930460653-113.97811471744194","POINT (-113.97811471744194 51.0523930460653)"
" Campus Gate and 24 Avenue NW ","There is an incident involving a pedestrian- EMS on site.","2025/08/23 08:08:41 PM","2025/08/23 08:16:33 PM","NW","-114.12353356114","51.07524152725","1","2025-08-23T20:08:4151.07524152725187-114.12353356114362","POINT (-114.12353356114362 51.07524152725187)"
" 17 Avenue and 70 Street SE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/22 10:11:16 PM","2025/08/22 10:12:01 PM","SE","-113.93022401846","51.03788865927","1","2025-08-22T22:11:1651.03788865927133-113.93022401846183","POINT (-113.93022401846183 51.03788865927133)"
" 37 Street and 17 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2025/08/20 11:18:28 PM","2025/08/20 11:20:33 PM","SE","-113.9801504612","51.03773843627","1","2025-08-20T23:18:2851.037738436272036-113.98015046119701","POINT (-113.98015046119701 51.037738436272036)"
" 7 Avenue and 8 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/20 02:40:13 AM","2025/08/20 02:41:04 AM","SW","-114.08118401148","51.04700821553","1","2025-08-20T02:40:1351.047008215527676-114.0811840114759","POINT (-114.0811840114759 51.047008215527676)"
" Skyview Ci and Skyview Ranch Drive NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/19 06:58:07 PM","2025/08/19 07:44:55 PM","NE","-113.95128375265","51.15700684112","1","2025-08-19T18:58:0751.15700684112057-113.95128375265399","POINT (-113.95128375265399 51.15700684112057)"
" 55 Avenue and 53 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/19 02:57:38 PM","2025/08/19 03:06:01 PM","SW","-113.95103210919","51.00509771583","1","2025-08-19T14:57:3851.00509771582944-113.95103210919174","POINT (-113.95103210919174 51.00509771582944)"
" Southbound 1 Street at 13 Avenue SE ","There is an incident involving a pedestrian- EMS on site. Blocking the left lane","2025/08/18 06:25:30 PM","2025/08/18 06:57:19 PM","SE","-114.06093382996","51.04041531787","1","2025-08-18T18:25:3051.04041531787151-114.06093382996487","POINT (-114.06093382996487 51.04041531787151)"
" Saddletowne Circle and Falconridge Boulevard NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/14 07:10:49 PM","2025/08/14 08:24:41 PM","NE","-113.94685782076","51.12140119987","1","2025-08-14T19:10:4951.121401199870796-113.94685782076367","POINT (-113.94685782076367 51.121401199870796)"
" 58 Avenue and 3 Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/08/14 05:52:41 PM","2025/08/14 07:12:28 PM","NW","-114.05705072524","51.00138279121","1","2025-08-14T17:52:4151.00138279120651-114.05705072523776","POINT (-114.05705072523776 51.00138279120651)"
" Haddon Road and Healy Drive SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/14 03:57:39 PM","2025/08/14 04:20:18 PM","NW","-114.07661531608","50.97819845068","1","2025-08-14T15:57:3950.97819845068244-114.07661531608028","POINT (-114.07661531608028 50.97819845068244)"
" 58 Avenue and 1A Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/08/13 04:36:27 PM","2025/08/13 05:52:26 PM","SE","-114.06225071616","51.00138139508","1","2025-08-13T16:36:2751.00138139507934-114.06225071615727","POINT (-114.06225071615727 51.00138139507934)"
" Memorial Drive and 68 Street NE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/13 03:22:04 PM","2025/08/13 04:03:39 PM","NE","-113.93491974039","51.05277567091","1","2025-08-13T15:22:0451.05277567091139-113.93491974039274","POINT (-113.93491974039274 51.05277567091139)"
" 1 Street and 53 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/13 08:33:51 AM","2025/08/13 09:22:11 AM","SW","-114.0663129613","51.00561038876","1","2025-08-13T08:33:5151.00561038876407-114.06631296130165","POINT (-114.06631296130165 51.00561038876407)"
" Somerset Gate and 6 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/12 06:32:01 PM","2025/08/12 07:10:08 PM","SW","-114.07528426555","50.89994269687","1","2025-08-12T18:32:0150.89994269686866-114.07528426555233","POINT (-114.07528426555233 50.89994269686866)"
" 14 Avenue and 12 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/12 06:14:27 PM","2025/08/12 07:10:08 PM","SW","-114.09151145246","51.0403268745","1","2025-08-12T18:14:2751.040326874500316-114.09151145245829","POINT (-114.09151145245829 51.040326874500316)"
" 14 Avenue and 4 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking the SB right lane","2025/08/12 05:20:53 PM","2025/08/12 05:41:38 PM","SW","-114.07150778647","51.03974687273","1","2025-08-12T17:20:5351.03974687272689-114.07150778646704","POINT (-114.07150778646704 51.03974687272689)"
" Country Hills Boulevard and Cornerstone Street NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/11 08:28:29 PM","2025/08/11 09:20:03 PM","NE","-113.94230850399","51.1544846925","1","2025-08-11T20:28:2951.15448469250179-113.94230850399445","POINT (-113.94230850399445 51.15448469250179)"
" 21 Avenue and 15 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/11 08:17:11 AM","2025/08/11 08:57:25 AM","SW","-114.09747016739","51.03498034923","1","2025-08-11T08:17:1151.03498034922541-114.09747016738888","POINT (-114.09747016738888 51.03498034922541)"
" 68 Street north of 16 Avenue NE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/08/10 08:53:54 PM","2025/08/10 09:05:22 PM","NE","-113.93529343565","51.06853430102","1","2025-08-10T20:53:5451.068534301024414-113.93529343565433","POINT (-113.93529343565433 51.068534301024414)"
" 11 Avenue and 9 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/08/10 01:29:43 AM","2025/08/10 02:06:54 AM","SW","-114.08392328216","51.04295784341","1","2025-08-10T01:29:4351.042957843411415-114.0839232821567","POINT (-114.0839232821567 51.042957843411415)"
" Douglasdale Boulevard and Deerfoot Trail SE ","There is an incident involving a pedestrian- EMS on site.","2025/08/07 12:45:37 PM","2025/08/07 01:21:41 PM","SE","-114.00530373415","50.94674131983","1","2025-08-07T12:45:3750.946741319826515-114.00530373414877","POINT (-114.00530373414877 50.946741319826515)"
" 9 Street and Mcdougall Road NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/06 07:25:06 PM","2025/08/06 08:22:08 PM","NE","-114.04036206639","51.05090814859","1","2025-08-06T19:25:0651.05090814859324-114.04036206639262","POINT (-114.04036206639262 51.05090814859324)"
" Castleglen Road and Castlepark Road NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/04 08:05:08 PM","2025/08/04 08:13:10 PM","NE","-113.95384754091","51.10517770847","1","2025-08-04T20:05:0851.10517770847472-113.95384754090536","POINT (-113.95384754090536 51.10517770847472)"
" Taradale Drive and Tarington Wy NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/04 07:04:56 PM","2025/08/04 08:06:38 PM","NE","-113.92712622586","51.11664359989","1","2025-08-04T19:04:5651.11664359988515-113.92712622585807","POINT (-113.92712622585807 51.11664359988515)"
" Maitland Hl and Maitland Drive NE ","There is an incident involving a pedestrian- EMS on site.","2025/08/04 06:48:00 PM","2025/08/04 07:06:04 PM","NE","-113.93922530729","51.06119272245","1","2025-08-04T18:48:0051.06119272245346-113.93922530729401","POINT (-113.93922530729401 51.06119272245346)"
" Northbound Macleod Trail and 18 Avenue SE ","There is an incident involving a pedestrian- EMS on site.  Blocking the right lane","2025/08/01 01:57:38 AM","2025/08/01 02:07:02 AM","SE","-114.05875168768","51.03700042235","1","2025-08-01T01:57:3851.037000422349784-114.05875168768497","POINT (-114.05875168768497 51.037000422349784)"
" 20 Avenue and 50 Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/07/26 10:56:53 PM","2025/07/26 11:48:59 PM","SE","-113.96137259931","51.03552387887","1","2025-07-26T22:56:5351.035523878874514-113.96137259930923","POINT (-113.96137259930923 51.035523878874514)"
" 38 Street and 19 Avenue SE ","There is an incident involving a pedestrian- EMS on site.","2025/07/26 10:51:53 PM","2025/07/26 11:48:59 PM","SE","-113.97869163171","51.03628067191","1","2025-07-26T22:51:5351.036280671913254-113.97869163170817","POINT (-113.97869163170817 51.036280671913254)"
" 1 Street and 9 Avenue SW ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the left lane","2025/07/26 08:30:41 AM","2025/07/26 08:32:22 AM","SW","-114.06556984653","51.04468050739","1","2025-07-26T08:30:4151.04468050739196-114.06556984652744","POINT (-114.06556984652744 51.04468050739196)"
" 17 Avenue and 5 Street SW ","There is an incident involving a pedestrian- EMS on site. The road is closed in all directions, use alternate route","2025/07/23 10:16:53 PM","2025/07/24 02:40:13 AM","SW","-114.07429066323","51.03782951233","1","2025-07-23T22:16:5351.03782951232833-114.07429066322574","POINT (-114.07429066322574 51.03782951232833)"
" 14 Avenue and 20 Street NW ","There is an incident involving a pedestrian- EMS on site.","2025/07/22 03:03:14 PM","2025/07/22 04:58:55 PM","NW","-114.10778173259","51.06515754505","1","2025-07-22T15:03:1451.065157545053815-114.10778173259483","POINT (-114.10778173259483 51.065157545053815)"
" 17 Avenue and 36 Street SE ","There is an incident involving a pedestrian- EMS on site.  Blocking the WB lanes","2025/07/21 11:15:45 PM","2025/07/21 11:18:53 PM","SE","-113.9816833865","51.0377485753","1","2025-07-21T23:15:4551.03774857530176-113.9816833865031","POINT (-113.9816833865031 51.03774857530176)"
" 210 Avenue and Sheriff King Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/07/21 05:37:55 PM","2025/07/21 05:58:28 PM","SW","-114.07089442366","50.8631568873","1","2025-07-21T17:37:5550.863156887295816-114.07089442366461","POINT (-114.07089442366461 50.863156887295816)"
" 9 Avenue and 85 Street SW ","There is an incident involving a pedestrian- EMS on site.","2025/07/21 04:27:39 PM","2025/07/21 05:38:30 PM","SW","-114.21140145823","51.05970279742","1","2025-07-21T16:27:3951.059702797422055-114.21140145822805","POINT (-114.21140145822805 51.059702797422055)"
" Northmount Drive and Northland Drive NW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/07/20 02:46:09 PM","2025/07/20 03:11:51 PM","NW","-114.14140218022","51.09602617768","1","2025-07-20T14:46:0951.0960261776795-114.14140218022304","POINT (-114.14140218022304 51.0960261776795)"
" 31 Street and 17 Avenue SE ","There is an incident involving a pedestrian- EMS Dispatched. Blocking the EB right lane","2025/07/20 02:23:44 PM","2025/07/20 02:46:48 PM","SE","-113.9894303043","51.03775654474","1","2025-07-20T14:23:4451.03775654473663-113.98943030429795","POINT (-113.98943030429795 51.03775654473663)"
" Skyview Li and Skyview Ranch Drive NE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/07/18 04:15:30 PM","2025/07/18 05:03:02 PM","NE","-113.95535096863","51.15795533459","1","2025-07-18T16:15:3051.157955334587534-113.95535096862749","POINT (-113.95535096862749 51.157955334587534)"
" 8 Street north of 8 Avenue SW ","There is an incident involving a pedestrian- EMS on site. Blocking the NB right lane","2025/07/17 02:31:00 PM","2025/07/17 02:55:28 PM","SW","-114.08125081173","51.04638877654","1","2025-07-17T14:31:0051.04638877654172-114.08125081172706","POINT (-114.08125081172706 51.04638877654172)"
" Saddlemont Wy and Saddlemont Boulevard NE ","There is an incident involving a pedestrian- EMS on site.","2025/07/16 07:00:24 PM","2025/07/16 08:11:39 PM","NE","-113.94127464883","51.12864388587","1","2025-07-16T19:00:2451.12864388586907-113.94127464883239","POINT (-113.94127464883239 51.12864388586907)"
" 14 Street and 25 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/07/16 03:01:28 PM","2025/07/16 04:09:42 PM","SW","-114.09468443503","51.03144526099","1","2025-07-16T15:01:2851.03144526099206-114.09468443502557","POINT (-114.09468443502557 51.03144526099206)"
" 68 Street and Coral Springs Boulevard NE ","There is an incident involving a pedestrian- EMS Dispatched.","2025/07/16 01:43:29 PM","2025/07/16 02:55:45 PM","NE","-113.93521925722","51.09907766767","1","2025-07-16T13:43:2951.09907766767247-113.93521925722392","POINT (-113.93521925722392 51.09907766767247)"
" 5 Avenue and 4 Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/07/16 12:21:06 PM","2025/07/16 12:23:18 PM","SE","-114.05294631273","51.04802425553","1","2025-07-16T12:21:0651.04802425552806-114.05294631272695","POINT (-114.05294631272695 51.04802425552806)"
" 5 Street and 21 Avenue SW ","There is an incident involving a pedestrian- EMS on site.","2025/07/16 11:07:10 AM","2025/07/16 12:23:18 PM","SW","-114.07420696327","51.03425712928","1","2025-07-16T11:07:1051.03425712928018-114.07420696326768","POINT (-114.07420696326768 51.03425712928018)"
" 24 Avenue and 2 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/07/14 02:16:14 AM","2025/07/14 02:53:17 AM","SW","-114.06896007666","51.03146084388","1","2025-07-14T02:16:1451.031460843882236-114.0689600766645","POINT (-114.0689600766645 51.031460843882236)"
" 11 Avenue at 11 Street SW ","There is an incident involving a pedestrian- EMS Dispatched.","2025/07/14 01:18:18 AM","2025/07/14 01:19:36 AM","SW","-114.08957039302","51.04309227393","1","2025-07-14T01:18:1851.04309227393428-114.08957039302325","POINT (-114.08957039302325 51.04309227393428)"
" 11 Avenue and 8 Street SW ","There is an incident involving a pedestrian- EMS on site. Blocking multiple lanes","2025/07/13 10:50:46 PM","2025/07/13 10:53:06 PM","SW","-114.08146272492","51.04288829565","1","2025-07-13T22:50:4651.042888295651515-114.08146272492017","POINT (-114.08146272492017 51.042888295651515)"
" Woodview Drive and Woodpark Boulevard SW ","There is an incident involving a pedestrian- EMS on site.","2025/07/13 08:40:39 PM","2025/07/13 08:46:22 PM","NW","-114.10935319531","50.94156430066","1","2025-07-13T20:40:3950.941564300658314-114.10935319530836","POINT (-114.10935319530836 50.941564300658314)"
