INCIDENT INFO,START_DT,QUADRANT,Longitude,Latitude,DESCRIPTION_CLEAN
 Temple Drive and 43 Avenue NE ,2025-09-05 17:51:45,NE,-113.939394643,51.0915596093,Pedestrian incident - EMS on site
 26 Street and 37 Avenue NE ,2025-09-05 13:33:40,NE,-113.99776802686,51.08665929745,Pedestrian incident - EMS on site
 Bridlewood Avenue and 24 Street SW ,2025-09-04 21:20:42,SW,-114.11711571647,50.89737305982,Pedestrian incident - EMS on site
 Spiller Road and 22 Avenue SE ,2025-09-04 21:07:50,SE,-114.04410769531,51.03379276147,Pedestrian incident - EMS on site
 Falconridge Drive and Castleridge Boulevard NE ,2025-09-03 19:22:19,NE,-113.95825706564,51.09983295432,Pedestrian incident - EMS dispatched
 68 Street and Falconridge Drive NE ,2025-09-01 22:05:43,NE,-113.93512556997,51.10144396103,Pedestrian incident - EMS on site
 Westbound 16 Avenue and 10 Street NW ,2025-09-01 15:15:50,NW,-114.0831172301,51.06698065874,Pedestrian incident - EMS on site
 41 Street and 17 Avenue SE ,2025-08-31 22:07:42,SE,-113.97432931821,51.03795206759,Pedestrian incident - EMS dispatched
 Westbound Glenmore Trail after Blackfoot Trail SE ,2025-08-31 12:37:53,SE,-114.05691173484,50.99398110109,Pedestrian incident - EMS on site
 83 Street and Bowness Road NW ,2025-08-31 08:34:12,NW,-114.20802625169,51.09040427046,Pedestrian incident - EMS dispatched
 2727 Centre Avenue SE ,2025-08-30 07:03:10,NE,-113.99498764009,51.05144926879,Pedestrian incident - EMS dispatched
 Mcknight Boulevard and Falconridge Boulevard NE ,2025-08-29 23:00:27,NE,-113.96091422895,51.09615018316,Pedestrian incident - EMS on site
 17 Avenue east of 33 Street SW ,2025-08-27 19:44:27,SW,-114.1348875151,51.03783677495,Pedestrian incident - EMS dispatched
 Panatella Boulevard and Panamount Street NW ,2025-08-26 20:07:45,NW,-114.0880407987,51.16333821444,Pedestrian incident - EMS on site
 15 Avenue and 2 Street SW ,2025-08-26 04:06:00,SE,-114.06844400193,51.03872855097,Pedestrian incident - EMS on site
 Northbound 52 Street and 32 Avenue NE ,2025-08-25 21:39:20,NE,-113.95892972241,51.08157590606,Pedestrian incident - EMS on site
 88 Avenue and Savanna Cr NE ,2025-08-25 20:08:31,NE,-113.94942162446,51.1325843294,Pedestrian incident - EMS on site
 56 Street and 28 Avenue NE ,2025-08-24 19:22:08,NE,-113.95214095883,51.07689581327,Pedestrian incident - EMS on site
 Marlborough Wy and 39 Street SE ,2025-08-23 22:48:49,NE,-113.97811471744,51.05239304607,Pedestrian incident - EMS on site
 Campus Gate and 24 Avenue NW ,2025-08-23 20:08:41,NW,-114.12353356114,51.07524152725,Pedestrian incident - EMS on site
 17 Avenue and 70 Street SE ,2025-08-22 22:11:16,SE,-113.93022401846,51.03788865927,Pedestrian incident - EMS dispatched
 37 Street and 17 Avenue SE ,2025-08-20 23:18:28,SE,-113.9801504612,51.03773843627,Pedestrian incident - EMS on site
 7 Avenue and 8 Street SW ,2025-08-20 02:40:13,NW,-114.08118401148,51.04700821553,Pedestrian incident - EMS on site
 Skyview Ci and Skyview Ranch Drive NE ,2025-08-19 18:58:07,NE,-113.95128375265,51.15700684112,Pedestrian incident - EMS on site
 55 Avenue and 53 Avenue SW ,2025-08-19 14:57:38,SE,-113.95103210919,51.00509771583,Pedestrian incident - EMS on site
 Southbound 1 Street at 13 Avenue SE ,2025-08-18 18:25:30,SE,-114.06093382996,51.04041531787,Pedestrian incident - EMS on site
 Saddletowne Circle and Falconridge Boulevard NE ,2025-08-14 19:10:49,NE,-113.94685782076,51.12140119987,Pedestrian incident - EMS on site
 58 Avenue and 3 Street SE ,2025-08-14 17:52:41,SE,-114.05705072524,51.00138279121,Pedestrian incident - EMS on site
 Haddon Road and Healy Drive SW ,2025-08-14 15:57:39,SW,-114.07661531608,50.97819845068,Pedestrian incident - EMS on site
 58 Avenue and 1A Street SE ,2025-08-13 16:36:27,SE,-114.06225071616,51.00138139508,Pedestrian incident - EMS on site
 Memorial Drive and 68 Street NE ,2025-08-13 15:22:04,NE,-113.93491974039,51.05277567091,Pedestrian incident - EMS dispatched
 1 Street and 53 Avenue SW ,2025-08-13 08:33:51,SE,-114.0663129613,51.00561038876,Pedestrian incident - EMS on site
 Somerset Gate and 6 Street SW ,2025-08-12 18:32:01,SW,-114.07528426555,50.89994269687,Pedestrian incident - EMS dispatched
 14 Avenue and 12 Street SW ,2025-08-12 18:14:27,SW,-114.09151145246,51.0403268745,Pedestrian incident - EMS dispatched
 14 Avenue and 4 Street SW ,2025-08-12 17:20:53,SW,-114.07150778647,51.03974687273,Pedestrian incident - EMS on site
 Country Hills Boulevard and Cornerstone Street NE ,2025-08-11 20:28:29,NE,-113.94230850399,51.1544846925,Pedestrian incident - EMS on site
 21 Avenue and 15 Street SW ,2025-08-11 08:17:11,SW,-114.09747016739,51.03498034923,Pedestrian incident - EMS on site
 68 Street north of 16 Avenue NE ,2025-08-10 20:53:54,NE,-113.93529343565,51.06853430102,Pedestrian incident - EMS dispatched
 11 Avenue and 9 Street SW ,2025-08-10 01:29:43,SW,-114.08392328216,51.04295784341,Pedestrian incident - EMS on site
 Douglasdale Boulevard and Deerfoot Trail SE ,2025-08-07 12:45:37,SE,-114.00530373415,50.94674131983,Pedestrian incident - EMS on site
 9 Street and Mcdougall Road NE ,2025-08-06 19:25:06,NE,-114.04036206639,51.05090814859,Pedestrian incident - EMS on site
 Castleglen Road and Castlepark Road NE ,2025-08-04 20:05:08,NE,-113.95384754091,51.10517770847,Pedestrian incident - EMS on site
 Taradale Drive and Tarington Wy NE ,2025-08-04 19:04:56,NE,-113.92712622586,51.11664359989,Pedestrian incident - EMS on site
 Maitland Hl and Maitland Drive NE ,2025-08-04 18:48:00,NE,-113.93922530729,51.06119272245,Pedestrian incident - EMS on site
 Northbound Macleod Trail and 18 Avenue SE ,2025-08-01 01:57:38,SE,-114.05875168768,51.03700042235,Pedestrian incident - EMS on site
 20 Avenue and 50 Street SE ,2025-07-26 22:56:53,SE,-113.96137259931,51.03552387887,Pedestrian incident - EMS on site
 38 Street and 19 Avenue SE ,2025-07-26 22:51:53,SE,-113.97869163171,51.03628067191,Pedestrian incident - EMS on site
 1 Street and 9 Avenue SW ,2025-07-26 08:30:41,SE,-114.06556984653,51.04468050739,Pedestrian incident - EMS dispatched
 17 Avenue and 5 Street SW ,2025-07-23 22:16:53,SW,-114.07429066323,51.03782951233,Pedestrian incident - EMS on site
 14 Avenue and 20 Street NW ,2025-07-22 15:03:14,NW,-114.10778173259,51.06515754505,Pedestrian incident - EMS on site
 17 Avenue and 36 Street SE ,2025-07-21 23:15:45,SE,-113.9816833865,51.0377485753,Pedestrian incident - EMS on site
 210 Avenue and Sheriff King Street SW ,2025-07-21 17:37:55,SE,-114.07089442366,50.8631568873,Pedestrian incident - EMS on site
 9 Avenue and 85 Street SW ,2025-07-21 16:27:39,NW,-114.21140145823,51.05970279742,Pedestrian incident - EMS on site
 Northmount Drive and Northland Drive NW ,2025-07-20 14:46:09,NW,-114.14140218022,51.09602617768,Pedestrian incident - EMS dispatched
 31 Street and 17 Avenue SE ,2025-07-20 14:23:44,SE,-113.9894303043,51.03775654474,Pedestrian incident - EMS dispatched
 Skyview Li and Skyview Ranch Drive NE ,2025-07-18 16:15:30,NE,-113.95535096863,51.15795533459,Pedestrian incident - EMS dispatched
 8 Street north of 8 Avenue SW ,2025-07-17 14:31:00,NW,-114.08125081173,51.04638877654,Pedestrian incident - EMS on site
 Saddlemont Wy and Saddlemont Boulevard NE ,2025-07-16 19:00:24,NE,-113.94127464883,51.12864388587,Pedestrian incident - EMS on site
 14 Street and 25 Avenue SW ,2025-07-16 15:01:28,SW,-114.09468443503,51.03144526099,Pedestrian incident - EMS on site
 68 Street and Coral Springs Boulevard NE ,2025-07-16 13:43:29,NE,-113.93521925722,51.09907766767,Pedestrian incident - EMS dispatched
 5 Avenue and 4 Street SE ,2025-07-16 12:21:06,NE,-114.05294631273,51.04802425553,Pedestrian incident - EMS on site
 5 Street and 21 Avenue SW ,2025-07-16 11:07:10,SW,-114.07420696327,51.03425712928,Pedestrian incident - EMS on site
 24 Avenue and 2 Street SW ,2025-07-14 02:16:14,SE,-114.06896007666,51.03146084388,Pedestrian incident - EMS dispatched
 11 Avenue at 11 Street SW ,2025-07-14 01:18:18,SW,-114.08957039302,51.04309227393,Pedestrian incident - EMS dispatched
 11 Avenue and 8 Street SW ,2025-07-13 22:50:46,SW,-114.08146272492,51.04288829565,Pedestrian incident - EMS on site
 Woodview Drive and Woodpark Boulevard SW ,2025-07-13 20:40:39,SW,-114.10935319531,50.94156430066,Pedestrian incident - EMS on site
 Falconridge Boulevard and Taracove Estate Drive NE ,2025-07-13 16:18:13,NE,-113.94731947112,51.11890310405,Pedestrian incident - EMS on site
 11 Avenue and 5 Street SW ,2025-07-13 03:27:36,SW,-114.07407898678,51.04269732236,Pedestrian incident - EMS dispatched
 Midlake Boulevard and Midridge Drive SE ,2025-07-10 12:25:56,SE,-114.06168748359,50.91491821539,Pedestrian incident - EMS on site
 Saddletowne Ci and 60 Street NE ,2025-07-09 14:12:02,NE,-113.94767920544,51.12654848264,Pedestrian incident - EMS on site
 17 Avenue and 68 Street SE ,2025-07-09 06:33:25,SE,-113.93552979117,51.03786599588,Pedestrian incident - EMS on site
 10 Avenue at 4 Street SW ,2025-07-08 22:59:32,SW,-114.07151194138,51.04355744112,Pedestrian incident - Blocking lanes
 Red Embers Mr and Red Embers Tc NE ,2025-07-08 20:11:38,NE,-113.9496504623,51.17006544961,Pedestrian incident - EMS on site
 Centre Street S and 15 Avenue SE ,2025-07-03 12:17:47,SE,-114.06350371084,51.03858822293,Pedestrian incident - EMS on site
 17 Avenue and 28 Street SW ,2025-05-19 13:37:10,SW,-114.12813188427,51.03780518126,Pedestrian incident - EMS on site
 26 Avenue and 25a Street SW ,2025-05-18 13:13:35,SW,-114.12226535717,51.03005465587,Pedestrian incident - EMS dispatched
 Blackthorn Road and 4A Street NE ,2025-05-17 20:52:22,NE,-114.05501846092,51.1088551308,Pedestrian incident - EMS dispatched
 Centre Street and 4 Street NW ,2025-05-14 18:11:18,NE,-114.07021427333,51.11786628871,Pedestrian incident - EMS on site
 Elbow Drive and Southampton Drive SW ,2025-05-14 16:22:01,SW,-114.08479485114,50.96064928316,Pedestrian incident - EMS on site
 Charleswood Drive and Northmount Drive NW ,2025-05-13 18:04:33,NW,-114.11742139325,51.08926516375,Pedestrian incident - EMS on site
 Country Hills Boulevard and Panorama Hills Boulevard NW ,2025-05-13 15:46:03,NW,-114.07412265321,51.14844325471,Pedestrian incident - EMS on site
 52 Street b/w 14 Avenue and 8 Avenue SE ,2025-05-12 22:06:25,SE,-113.95843313434,51.04102756038,Pedestrian incident - EMS dispatched
 52 Street and Pensdale Road SE ,2025-05-12 22:06:25,SE,-113.95849793217,51.04287587363,Pedestrian incident - EMS dispatched
 52 Street b/w 14 Avenue and Pensdale Road SE ,2025-05-12 22:06:25,SE,-113.95833461749,51.04100945592,Pedestrian incident - EMS dispatched
 Northbound 52 Street and 17 Avenue SE ,2025-05-12 18:27:32,SE,-113.9582888243,51.03817353554,Pedestrian incident - EMS on site
 Redstone Drive and Redstone Gv NE ,2025-05-11 14:41:07,NE,-113.96586823709,51.16832778372,Pedestrian incident - EMS on site
 1A Street south of 61 Avenue SE ,2025-05-11 12:09:20,SE,-114.06757230514,50.99662085372,Pedestrian incident - EMS on site
 Centre Street and 40 Avenue NW ,2025-05-09 18:03:45,NE,-114.06243371391,51.08874047848,Pedestrian incident - EMS on site
 41 Avenue west of Edmonton Trail NE ,2025-05-07 15:38:36,NE,-114.05450622603,51.09015653951,Pedestrian incident - EMS on site
 5 Street and 14 Avenue SW ,2025-05-06 23:40:50,SW,-114.0742824362,51.03981822881,Pedestrian incident - EMS on site
 1 Street and 15 Avenue NE  ,2025-05-04 21:43:12,NE,-114.05992792712,51.06601469939,Pedestrian incident - EMS on site
 41 Avenue and Centre Street N ,2025-05-03 16:54:39,NE,-114.06243177344,51.08963171501,Pedestrian incident - EMS dispatched
 Eastbound 17 Avenue and 16 Street SW ,2025-05-02 21:50:14,SW,-114.09883526798,51.03783030177,Pedestrian incident - EMS on site
 Seton Wy and 202 Avenue SE ,2025-05-02 16:17:40,SE,-113.94774302897,50.86732963333,Pedestrian incident - EMS on site
 Southbound 14 Street at 9 Avenue SW ,2025-05-01 23:35:58,NW,-114.09505244321,51.04561513901,Pedestrian incident - EMS on site
 Temple Drive and 55 Street NE ,2025-05-01 20:34:02,NE,-113.95417975461,51.0858862178,Pedestrian incident - EMS on site
 Walgrove Boulevard and Walgrove Mr SE ,2025-05-01 08:27:29,SE,-114.02056147293,50.8668907394,Pedestrian incident - EMS dispatched
 Westbound Crowchild Trail and 24 Avenue NW ,2025-04-30 20:13:15,NW,-114.11823217298,51.07403438945,Pedestrian incident - EMS on site
 Hunterview Drive and Hunterbrook Road NW ,2025-04-30 20:00:02,NW,-114.08533446147,51.12394894669,Pedestrian incident - EMS on site
 32 Avenue and Centre Street N ,2025-04-30 10:02:10,NE,-114.06250333269,51.08150941857,Pedestrian incident - EMS dispatched
 18 Street and 33 Avenue SW ,2025-04-29 15:09:49,SW,-114.10509178352,51.02403446456,Pedestrian incident - EMS dispatched
 4 Street and 12 Avenue SW ,2025-04-27 16:19:06,SW,-114.07148092732,51.04165909704,Pedestrian incident - EMS dispatched
 Erin Woods Drive and Erin Mount Cr SE ,2025-04-24 18:30:43,SE,-113.97126407518,51.02171837021,Pedestrian incident - EMS on site
 Northland Drive and 52 Avenue NW ,2025-04-24 17:45:57,NW,-114.14143436512,51.10096038128,Pedestrian incident - EMS on site
 Arbour Lake Drive and Arbour Crest Cl NW ,2025-04-24 11:15:30,NW,-114.2029731574,51.13383006292,Pedestrian incident - EMS dispatched
 Shawville Boulevard and Shawville Li SW ,2025-04-22 13:24:34,SE,-114.06432863035,50.90122402319,Pedestrian incident - EMS on site
 Bow Trail and 26 Street SW ,2025-04-18 18:56:42,SW,-114.12364274981,51.04150722938,Pedestrian incident - EMS on site
 Southbound 5 Street at 11 Avenue SW ,2025-04-18 17:06:42,SW,-114.07417204059,51.04230000679,Pedestrian incident - EMS dispatched
 19 Avenue and 27 Street SE ,2025-04-18 14:19:05,SE,-113.99393591829,51.03609115542,Pedestrian incident - EMS on site
 Heritage Drive and Bonaventure Drive SE ,2025-04-17 19:54:44,SE,-114.0679558313,50.97956828631,Pedestrian incident - EMS on site
 13 Street and 5 Avenue NW ,2025-04-17 08:57:24,NW,-114.09323364176,51.0570690653,Pedestrian incident - EMS on site
 87 Street and Bearspaw Dam Road NW ,2025-04-16 12:20:16,NW,-114.21603095646,51.10208369351,Pedestrian incident - EMS on site
 5 Avenue and 3 Street SE ,2025-04-14 19:26:02,NE,-114.05543034061,51.04819344634,Pedestrian incident - EMS on site
 Westbound 17 Avenue at 43 Street SE ,2025-04-14 17:22:45,SE,-113.97142204347,51.03792153541,Pedestrian incident - EMS dispatched
 52 Street and 26 Avenue NE ,2025-04-14 10:41:30,NE,-113.95834852276,51.07625172753,Pedestrian incident - EMS on site
 2 Street and 10 Avenue SW ,2025-04-11 22:32:48,SE,-114.06811230804,51.04345823453,Pedestrian incident - EMS on site
 Maitland Drive and Maitland Gate NE ,2025-04-11 14:54:07,NE,-113.9388808695,51.06559559784,Pedestrian incident - EMS on site
 Falconridge Boulevard at Falworth Wy NE ,2025-04-09 20:48:58,NE,-113.95250844882,51.10519127013,Pedestrian incident - EMS on site
 17 Street and 21 Avenue SW ,2025-04-09 18:57:11,SW,-114.10159096457,51.03499822299,Pedestrian incident - EMS on site
 Fairmount Drive and Armstrong Cr SE ,2025-04-09 07:55:08,SE,-114.05917147923,50.97059004803,Pedestrian incident - EMS on site
 Northbound Macleod Trail and 25 Avenue S ,2025-04-08 06:28:00,SE,-114.05952242131,51.03058951862,Pedestrian incident - EMS on site
 Westbound 4 Avenue and 9 Street SW ,2025-04-07 16:06:36,NW,-114.08347289021,51.04989867599,Pedestrian incident - EMS on site
 Bowness Road and 48 Street NW ,2025-04-07 08:01:39,NW,-114.16370421593,51.07503529213,Pedestrian incident - EMS on site
 Auburn Bay Drive and 52 Street SE ,2025-04-06 11:54:52,SE,-113.9452875934,50.89949970421,Pedestrian incident - EMS dispatched
 Southampton Drive and 11 Street SW ,2025-04-04 20:05:32,SW,-114.08838591763,50.95308127755,Pedestrian incident - EMS on site
 Auburn Meadows Boulevard and Auburn Bay Drive SE ,2025-04-04 08:09:01,SE,-113.94815413316,50.89926098044,Pedestrian incident - EMS on site
 16 Street and 6 Avenue NW ,2025-04-04 07:38:42,NW,-114.097788579,51.05761379214,Pedestrian incident - EMS on site
 Southbound 85 Street and 8a Avenue SW ,2025-04-03 17:06:49,NW,-114.21105269385,51.06155673336,Pedestrian incident - EMS on site
 Westbound 17 Avenue and 8 Street SW ,2025-04-03 14:53:49,SW,-114.08179134403,51.03781478247,Pedestrian incident - EMS on site
 Northbound Macleod Trail at 17 Avenue SE ,2025-04-01 22:01:38,SE,-114.05865922296,51.03783299689,Pedestrian incident - EMS on site
 58 Avenue and 5 Street SW ,2025-03-30 15:33:25,SW,-114.07619743344,51.00137132436,Pedestrian incident - EMS on site
 14 Street and Kensington Road NW ,2025-03-28 23:45:20,NW,-114.09469617545,51.05251656024,Pedestrian incident - EMS on site
 Westbound 17 Avenue and 18 Street SW ,2025-03-27 17:07:20,SW,-114.10424267094,51.03782541138,Pedestrian incident - EMS on site
 Northbound Macleod Trail and 13 Avenue SE ,2025-03-26 20:44:15,SE,-114.05847673987,51.04034563154,Pedestrian incident - EMS dispatched
 1 Street and 4 Avenue SW ,2025-03-25 20:57:34,NE,-114.06523338218,51.04939957229,Pedestrian incident - EMS dispatched
 Westbound Country Hills Boulevard and Citadel Wy NW ,2025-03-24 16:17:22,NW,-114.19553972773,51.14264226614,Pedestrian incident - EMS on site
 Southbound Stoney Trail and 88 Street SE ,2025-03-21 20:59:25,SE,-113.9107071118,50.91448475949,Pedestrian incident - EMS on site
 36 Street and 17 Avenue SE ,2025-03-20 12:25:33,SE,-113.98155793034,51.03776112966,Pedestrian incident - EMS dispatched
 Macleod Trail and Southland Drive SW ,2025-03-19 22:40:29,SW,-114.07163803159,50.96492961871,Pedestrian incident - EMS on site
 Southbound Macleod Trail and Southland Drive SW ,2025-03-19 22:40:29,SW,-114.07174165748,50.96436625058,Pedestrian incident - EMS on site
 3 Street and 5 Avenue SE ,2025-03-18 14:37:36,NE,-114.05527857616,51.04865585993,Pedestrian incident - EMS on site
 Northbound Ogden Road at 76 Avenue SE ,2025-03-17 07:14:50,SE,-113.99878356235,50.98504693094,Pedestrian incident - EMS on site
 Park Road and Macleod Trail SE ,2025-03-16 21:50:10,SE,-114.05881027392,51.03618555003,Pedestrian incident - EMS on site
 36 Street at 88 Avenue NE ,2025-03-13 18:02:55,NE,-113.97923417064,51.13192287041,Pedestrian incident - EMS dispatched
 8 Avenue and 52 Street SE ,2025-03-13 08:43:10,NE,-113.95875701717,51.04517543787,Pedestrian incident - EMS dispatched
 Fairmount Drive and Fyffe Road SE ,2025-03-12 09:11:38,SE,-114.06024925168,50.98497647371,Pedestrian incident - EMS on site
 Dalton Drive at Dalhousie Drive NW ,2025-03-11 09:13:46,NW,-114.15478186118,51.10477952083,Pedestrian incident - EMS on site
 Elbow Drive and 89 Avenue SW ,2025-03-10 17:43:51,SW,-114.08450421154,50.97353024094,Pedestrian incident - EMS dispatched
 8 Avenue and 44 Street SE ,2025-03-06 16:51:49,NE,-113.96999650323,51.04516322137,Pedestrian incident - EMS dispatched
 Southbound 4 Street approaching McKnight Blvd NE ,2025-03-05 13:41:36,NE,-114.05403679726,51.09680774045,Pedestrian incident - EMS dispatched
 Rocky Ridge Gr and Rocky Ridge Gate NW ,2025-03-04 14:09:40,NW,-114.24181587426,51.14537353823,Pedestrian incident - EMS dispatched
 Sandringham Road and Sandarac Drive NW ,2025-03-04 06:53:26,NW,-114.09969313761,51.13579872339,Pedestrian incident - EMS on site
 Southbound 36 Street and 25 Avenue NE ,2025-03-03 23:08:48,NE,-113.98149352703,51.07593738003,Pedestrian incident - EMS on site
 Southampton Drive and Elbow Drive SW ,2025-03-01 16:44:12,SW,-114.08479486575,50.96064927589,Pedestrian incident - EMS on site
 High Street and Promenade Pa SE ,2025-02-28 14:41:13,SE,-113.96139137409,50.91402472474,Pedestrian incident - EMS on site
 Northbound Edmonton Trail and Meredith Road NE ,2025-02-27 08:12:26,NE,-114.05027918768,51.05190691421,Pedestrian incident - EMS on site
 Citadel Acres Cl and Citadel Forest Li NW ,2025-02-27 07:10:21,NW,-114.1964198257,51.14666615001,Pedestrian incident - EMS on site
 McKenzie Towne Drive and Elgin Wy SE ,2025-02-26 20:30:46,SE,-113.9688638127,50.90647783291,Pedestrian incident - EMS on site
 Millrise Drive and Millrise Hl SW ,2025-02-26 16:10:48,SW,-114.08925576386,50.91812346366,Pedestrian incident - EMS on site
 Southbound 36 Street and 12 Avenue SE ,2025-02-24 15:34:29,SE,-113.9816497422,51.04248624149,Pedestrian incident - EMS on site
 Brentwood Wy and Brentwood Cm NW ,2025-02-23 22:19:15,NW,-114.12880061547,51.08690137777,Pedestrian incident - EMS on site
 20 Avenue and Centre Street N ,2025-02-22 09:04:00,NE,-114.06251450921,51.07062001123,Pedestrian incident - EMS on site
 16 Street and 27 Avenue NE ,2025-02-21 13:10:11,NE,-114.01893410952,51.07688383539,Pedestrian incident - EMS dispatched
 26 Avenue west of 36 Street SE ,2025-02-18 17:25:41,SE,-113.98217623961,51.03053966992,Pedestrian incident - EMS on site
 17 Avenue and Macleod Trail SE ,2025-02-18 10:19:44,SE,-114.05865922296,51.03783299689,Pedestrian incident - EMS on site
 Elbow Drive and Britannia Drive SW ,2025-02-13 11:51:53,SW,-114.07897588242,51.01484238995,Pedestrian incident - EMS dispatched
 Southbound 4 Street and 13 Avenue SW ,2025-02-12 16:47:26,SW,-114.07148120299,51.04071489182,Pedestrian incident - EMS on site
 Eastbound 17 Avenue at Sirocco Drive SW ,2025-02-12 11:30:11,SW,-114.16950794402,51.03764541422,Pedestrian incident - EMS on site
 47 Street and 17 Avenue SE ,2025-02-11 16:02:03,SE,-113.9657892402,51.03826585777,Pedestrian incident - EMS on site
 77 Street and Old Banff Coach Road SW ,2025-02-09 19:42:16,NW,-114.19944184899,51.06695890251,Pedestrian incident - EMS on site
 Eastbound 130 Avenue at Deerfoot Trail SE ,2025-02-07 16:22:54,SE,-113.97944347141,50.9318157684,Pedestrian incident - EMS on site
 Eastbound 130 Avenue at Deerfoot Trail SE ,2025-02-07 16:22:54,SE,-113.97950846621,50.931857493,Pedestrian incident - EMS on site
 32 Avenue and Rundlehorn Drive NE ,2025-02-07 14:26:26,NE,-113.94102300787,51.08158189422,Pedestrian incident - EMS on site
 Bonaventure Drive and Lake Bonavista Drive SE ,2025-02-06 14:54:07,SE,-114.06252301146,50.94147217647,Pedestrian incident - EMS on site
 Beddington Trail and Harvest Hills Boulevard NW ,2025-02-05 17:55:58,NE,-114.06800451678,51.13302073235,Pedestrian incident - EMS on site
 68 Street and Abbotsford Drive NE ,2025-02-02 21:39:11,NE,-113.93502883721,51.06279520526,Pedestrian incident - EMS dispatched
 12 Avenue and 6 Street SW ,2025-01-31 15:45:07,SW,-114.07659727086,51.04180219623,Pedestrian incident - EMS on site
 11 Street and 11 Avenue SW ,2025-01-30 15:10:01,SW,-114.08884258154,51.04309704169,Pedestrian incident - EMS dispatched
 68 Street and Abbeydale Drive NE ,2025-01-29 14:56:20,NE,-113.93503139177,51.05964503294,Pedestrian incident - EMS on site
 Ranchlands Boulevard and Ranchview Drive NW ,2025-01-29 09:19:31,NW,-114.18169326197,51.11614119479,Pedestrian incident - EMS on site
 32 Avenue and 69 Street NW ,2025-01-28 22:03:05,NW,-114.18671686929,51.08225062823,Pedestrian incident - EMS on site
